NAME,xcoord,ycoord
Jacksonville,-81.65564728,30.33217812
MiamiFtLauderdale,-80.14337921,26.12230492
Tampa,-82.45842743,27.9475193
HartfordSpringfield,-89.64370728,39.80171967
Sacramento,-121.4944,38.58157349
Columbus,-82.99880219,39.96117401
BaltimoreWashington,-76.61219025,39.2903862
RichmondNorfolk,-76.28334045,36.84831619
Denver,-104.9847031,39.73915863
San Francisco,-122.4194107,37.77493286
CincinnatiDayton,-84.45687866,39.16200256
Indianapolis,-95.23525238,38.97167206
StLouis,-90.19789124,38.62726974
Roanoke,-79.94143677,37.27096558
Louisville,-85.75939941,38.25424194
WestTexNewMexico,-105.9377975,35.68696976
Charlotte,-80.84312439,35.2270813
Las Vegas,-115.1372223,36.17496872
RaleighGreensboro,-78.63861847,35.77209091
Portland,-122.6762085,45.52344894
Spokane,-117.4260483,47.65878296
Seattle,-122.3320694,47.60621262
BuffaloRochester,-78.87836456,42.88644791
Syracuse,-76.14743042,43.04812622
Albany,-73.75623322,42.65258026
Boston,-71.05977631,42.35842896
Detroit,-83.04575348,42.33142853
NewYork,-74.00597382,40.71427155
GrandRapids,-85.66809082,42.96335602
HarrisburgScranton,-75.66241455,41.40896988
Pittsburgh,-79.99588776,40.44062805
GreatLakes,-86.89502716,41.7075386
Chicago,-87.65005493,41.85003281
Philadelphia,-75.16378784,39.95233536
Atlanta,-84.38798523,33.74899673
Nashville,-90.04898071,35.14953232
LosAngeles,-118.2436905,34.05223083
SouthCarolina,-81.03482056,34.00071716
PheonixTucson,-110.9264755,32.22174454
DallasFtWorth,-96.80028534,32.78345871
Boise,-88.70365906,32.36431503
SanDiego,-117.1572571,32.71532822
Houston,-95.36327362,29.7632885
Orlando,-81.37923431,28.53833961
NewOrleansMobile,-88.0430603,30.69436073
